datetime,open,high,low,close,volume
2021-01-04,131.0425,136.52498,129.625,131.13499,56064180.0
2021-01-05,130.9975,134.435,130.87,134.0475,32275992.0
2021-01-06,132.22501,132.45,125.86,126.145,58042300.0
2021-01-07,129.675,133.7775,128.86502,133.44,46148148.0
2021-01-08,133.625,134.20998,130.42,132.7675,29252860.0
2021-01-11,134.1875,139.61,133.625,136.215,51902880.0
2021-01-12,137.52499,137.545,133.45,134.8475,29147772.0
2021-01-13,134.89964,136.24997,133.85002,135.3175,21002844.0
2021-01-14,135.75,135.9975,131.80499,132.0025,28312028.0
2021-01-15,132.28,133.2525,128.485,128.595,27778128.0
2021-01-19,130.16251,130.93982,128.44,130.2525,22618688.0
2021-01-20,131.11749,134.30499,130.5675,133.6575,25857088.0
2021-01-21,134.18605,139.99358,132.53003,138.675,33833960.0
2021-01-22,137.40088,138.41733,136.27251,137.125,24681856.0
2021-01-25,137.8175,138.285,132.36481,136.5325,25111116.0
2021-01-26,135.8044,136.44749,133.875,134.35249,16398040.0
2021-01-27,132.3,132.3275,127.9375,129.17751,37127284.0
2021-01-28,129.96249,133.39751,129.605,130.50999,22831596.0
2021-01-29,130.75,133.3475,129.11505,129.89751,27155204.0
2021-02-01,130.53337,132.7075,129.0275,132.37,21720432.0
2021-02-02,133.9875,135.72,132.85498,135.5675,22043828.0
2021-02-03,136.36,139.3175,135.16499,135.30499,24540928.0
2021-02-04,135.31,136.735,133.37863,136.6425,20133848.0
2021-02-05,137.25,137.3725,135.4575,135.91,16915364.0
2021-02-08,137.27216,144.7375,137.27216,144.3875,43462284.0
2021-02-09,143.40625,145.8325,142.22501,142.63251,28756012.0
2021-02-10,144.63251,149.05,143.41376,147.6425,48535232.0
2021-02-11,149.80251,152.7225,149.25,152.50751,45082772.0
2021-02-12,150.5,152.91138,147.75,149.6125,37475748.0
2021-02-16,150.6425,153.72501,149.5,153.30251,32195952.0
2021-02-17,151.71001,152.23517,147.8,149.06,27569868.0
2021-02-18,147.28999,148.7325,145.75,148.28999,23408080.0
2021-02-19,150.245,151.76997,148.467,149.265,27172412.0
2021-02-22,147.7475,151.3325,143.25,143.5575,32588556.0
2021-02-23,140.7525,142.3875,133.895,141.42,39177932.0
2021-02-24,141.22749,145.0675,137.56,144.99001,44831908.0
2021-02-25,140.45418,143.7475,132.16251,133.075,82443600.0
2021-02-26,137.52499,138.545,133.61,137.145,50093040.0
2021-03-01,138.75,139.25,135.53247,138.4175,35318300.0
2021-03-02,139.0,139.205,133.96001,134.0625,26411412.0
2021-03-03,134.2625,134.515,127.9875,128.0475,37759028.0
2021-03-04,128.00751,129.75,120.8375,123.7025,57334516.0
2021-03-05,125.5,125.5,116.7925,124.615,54283884.0
2021-03-08,124.5,124.7125,115.665,115.9325,54311168.0
2021-03-09,121.3025,126.1675,120.5925,125.2025,52182552.0
2021-03-10,128.405,129.8,124.575,124.6825,38437656.0
2021-03-11,129.5,130.46249,127.345,129.935,29991428.0
2021-03-12,126.4825,128.8875,125.9,128.56,24396396.0
2021-03-15,128.64751,132.0675,127.67125,131.91251,22252044.0
2021-03-16,133.565,135.125,131.1675,132.91251,27212960.0
2021-03-17,130.39751,134.5325,129.895,133.41251,24386420.0
